Table, Reward 1, Reward 2, Reward 3, Reward 4, Reward 5, Reward 6, Reward 7, Reward 8, Reward 9, Reward 10,Seconds
5,Raw Meat x1,Raw Meat x1,Health Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,,,,,37
6,Raw Meat x1,Field Horn x1,Field Horn x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,,,,,32
6,Raw Meat x1,Nulberry x3,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,,,,,,14
6,Raw Meat x1,Nulberry x3,Nulberry x3,Warm Pelt x2,Warm Pelt x2,,,,,,4
6,Raw Meat x1,Raw Meat x1,Health Horn x1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,,,39
6,Raw Meat x1,Raw Meat x1,Health Horn x1,Kelbi Horn x1,Warm Pelt x2,Warm Pelt x2,,,,,51
6,Raw Meat x1,Raw Meat x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,,,11
6,Raw Meat x1,Raw Meat x1,Raw Meat x1,Kelbi Horn x1,Warm Pelt x2,,,,,,49
7,Field Horn x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Warm Pelt x2,,,,,,31
7,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,,,,,,,53
7,Nulberry x3,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,,,,,,27
7,Raw Meat x1,Raw Meat x1,Field Horn x1,Field Horn x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,59
7,Raw Meat x1,Raw Meat x1,Field Horn x1,Kelbi Horn x1,Warm Pelt x2,,,,,,13
7,Raw Meat x1,Raw Meat x1,Health Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,,,,17
7,Raw Meat x1,Raw Meat x1,Raw Meat x1,Field Horn x1,Kelbi Horn x1,Warm Pelt x2,,,,,30
7,Raw Meat x1,Raw Meat x1,Raw Meat x1,Nulberry x3,Warm Pelt x2,Warm Pelt x2,Warm Pelt x2,,,,23
7,Raw Meat x1,Raw Meat x1,Raw Meat x1,Raw Meat x1,Nulberry x3,Kelbi Horn x1,Warm Pelt x2,,,,38
8,Field Horn x1,Nulberry x3,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,Warm Pelt x2,,,,,29
8,Raw Meat x1,Field Horn x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,,,,,43
8,Raw Meat x1,Raw Meat x1,Field Horn x1,Field Horn x1,Field Horn x1,Nulberry x3,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,Warm Pelt x2,20
8,Raw Meat x1,Raw Meat x1,Raw Meat x1,Kelbi Horn x1,Warm Pelt x2,,,,,,18
8,Raw Meat x1,Raw Meat x1,Raw Meat x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,,,,55
9,Field Horn x1,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,52
9,Field Horn x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Warm Pelt x2,,,,,,19
9,Raw Meat x1,Raw Meat x1,Raw Meat x1,Field Horn x1,Nulberry x3,Kelbi Horn x1,Warm Pelt x2,Warm Pelt x2,,,15
10,Field Horn x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,,,,0
10,Field Horn x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x2,,,,1
10,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,,,,22
10,Raw Meat x1,Field Horn x1,Nulberry x3,Warm Pelt x1,Warm Pelt x2,,,,,,8
10,Raw Meat x1,Raw Meat x1,Raw Meat x1,Field Horn x1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x2,25
10,Raw Meat x1,Raw Meat x1,Raw Meat x1,Raw Meat x1,Raw Meat x1,Field Horn x1,Nulberry x3,Nulberry x3,Warm Pelt x2,Warm Pelt x2,28
11,Raw Meat x1,Field Horn x1,Health Horn x1,Nulberry x3,Nulberry x3,Warm Pelt x1,Warm Pelt x2,,,,42
11,Raw Meat x1,Nulberry x3,Nulberry x3,Nulberry x3,Warm Pelt x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,Warm Pelt x2,12
11,Raw Meat x1,Raw Meat x1,Nulberry x3,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,Warm Pelt x2,33
12,Raw Meat x1,Field Horn x1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Kelbi Horn x1,Warm Pelt x1,Warm Pelt x1,Warm Pelt x2,24
12,Raw Meat x1,Raw Meat x1,Nulberry x3,Nulberry x3,Kelbi Horn x1,Warm Pelt x2,Warm Pelt x2,,,,3
